Date,Garch normal o=0,Garch ged o=0,Garch normal o=1,Garch ged o=1
2021-09-22,0.010384737534569592,0.010490786679206195,0.011533999379420026,0.011359969853023398
2021-09-23,0.009717652752998409,0.009726602895431839,0.009553616269897647,0.009607428776335398
2021-09-24,0.009597661696460492,0.009562976664821922,0.009302376708040084,0.009399807312480322
2021-09-27,0.009166994574193628,0.00926337481553896,0.00895694277525707,0.009105540491088759
2021-09-28,0.009245589715158514,0.00910650486699913,0.008931644069392366,0.009705060673638483
2021-09-29,0.012501217956040549,0.011299232205618159,0.014631485458477164,0.014670316823846542
2021-09-30,0.01603794782096076,0.017007148873519787,0.023785429305275396,0.022607941882639603
2021-10-01,0.009037951718884574,0.009369778593278649,0.008895343463473804,0.00996139635668176
2021-10-04,0.013798815793736048,0.01313188702011862,0.015019377764287148,0.014853814076410602
2021-10-05,0.016177528337570805,0.015654047818836413,0.014613943655425494,0.014532028196612477
2021-10-06,0.01663051050987635,0.01637547120706773,0.018836256517531513,0.018955489332647103
2021-10-07,0.014812681152794596,0.015886321176578688,0.015801112580985353,0.01593851675063231
2021-10-08,0.014147535768143234,0.014305890992249107,0.01335742224922064,0.013587597886398508
2021-10-11,0.011185835451992462,0.011466118382461555,0.010811677289019626,0.011223889681324352
2021-10-12,0.00920798531515067,0.010151913491409703,0.009510446517214005,0.009180122839110134
2021-10-13,0.008590960959612835,0.009585158192354962,0.009032564513087621,0.009009249017986547
2021-10-14,0.00986430345885877,0.009881029628106964,0.009119070652994032,0.00889569431252132
2021-10-15,0.010156843073291334,0.010543368686931816,0.010324942431858879,0.009886932642980009
2021-10-18,0.014034354970742176,0.014290852877655535,0.011861127351385585,0.011792182015515223
2021-10-19,0.011432999650546616,0.011718326385817058,0.0097438903607467,0.009948653141595468
2021-10-20,0.01048732967938832,0.011015435315130093,0.009812288121097525,0.010528789513609957
2021-10-21,0.01003711815057303,0.010216244233478443,0.009232007947888065,0.009202309909467453
2021-10-22,0.009494127659380494,0.00990548543449429,0.009270959562729083,0.009437114045564833
2021-10-25,0.00984151314217123,0.00993936671121235,0.009502626114325027,0.009159170946705378
2021-10-26,0.009740734500138414,0.009962404776726486,0.009519362565089111,0.009795546307052224
2021-10-27,0.00956725747863783,0.009724901367084393,0.009435313733927765,0.009439715511260357
2021-10-28,0.010073688469188472,0.010647095274192834,0.010203494561242536,0.010222940894947491
2021-10-29,0.011654657511145841,0.011521913492364675,0.010053729282855379,0.010059633204332088
2021-11-01,0.011553878555582526,0.013043216112867214,0.010131469669409796,0.01041567377776433
